id,Premise,Hypothesis,perturbation_1_lexical,perturbation_2_syntactic,perturbation_3_pragmatic,gold_label,Explanation
561,A black and a black dog are running.,Two lifeforms running.,Two living beings running.,Two lifeforms are running.,It appears that two lifeforms are running.,entailment,The two lifeforms are black.
562,A black and white dog is playing with a ball on a lawn.,A very large dog is playing with a ball,A huge dog is playing with a ball.,A ball is being played with by a very large dog.,A very large dog appears to be playing with a ball.,neutral,the fact that the dog is playing with a ball does not imply that the dog is very large.
563,The journey is temporarily delayed by mechanical malfunctions.,"Since everything is going perfectly, the family will make their trip on time.","As everything is unfolding flawlessly, the family will reach their destination punctually.","The family will make their trip on time, since everything is going perfectly.","It appears that since everything is going perfectly, the family will make their trip on time.",contradiction,One cannot be delayed and on time.
564,"Three people in shorts, two shirtless are in front of an Asian storefront, one resting in a chair and the other two cleaning and watering.",The people are all inside of the store.,The individuals are entirely within the shop.,Inside the store are all of the people.,It seems that the people are all inside of the store.,contradiction,"If everyone is inside, then there can't be two people in front of the storefront."
565,The Beijing Olympics is being set up.,It is only a month before the start of the games.,It is merely one month before the commencement of the games.,The start of the games is only a month away.,It appears to be only a month before the start of the games.,neutral,Without knowing the dates it is impossible to know how long until the games will begin.
566,A city with historical buildings at a distance on each side of the street with people on the sidewalks looking on.,A city with historical buildings has people on the sidewalks walking very fast.,A city with historic structures features individuals on the pavements moving rapidly.,"On the sidewalks of a city with historical buildings, people are walking very fast.",It appears that a city with historical buildings has people on the sidewalks walking very fast.,neutral,People are not necessarily walking very fast.
567,Men working on a building.,Men are working.,Males are working.,The men are engaged in work.,It seems men are working.,entailment,"""Working on a building"" is  a form of ""working"""
568,"A cook grills up hamburger patties in the window, exposing the kitchen to the view of people on the street.",The cook is asleep in the kitchen.,The chef is sleeping in the cooking area.,Asleep in the kitchen is the cook.,It seems that the cook is asleep in the kitchen.,contradiction,asleep and grills can't be at the same time
569,Reflections from the firemen's uniforms.,The fireman are fighting a fire.,The firefighters are combating a fire.,A fire is being fought by the firemen.,The firemen might be fighting a fire.,neutral,The fireman is not necessarily fighting a fire.
570,Two guys dressed in vests and dress pants.,Two guys are taking a test.,Two men are undergoing an examination.,A test is being taken by two guys.,It seems that two guys are taking a test.,contradiction,Guys are either dressed in vests and dress pants or taking a test.
571,A young male child running and smiling quite contently.,A little boy is crying.,A young boy is weeping.,There is a little boy who is crying.,A little boy seems to be crying.,contradiction,The boy can't be crying while smiling.
572,Young adults wearing hats read.,young adults are not wearing hats,Youthful people are not donning hats.,Hats are not being worn by young adults.,It appears that young adults are not wearing hats.,contradiction,"The young adults are wearing hats or not, and they may or may not be reading."
573,Group of people dancing,people are dancing with one another during a religious ritual,Folks are moving rhythmically among themselves amidst a spiritual observance.,"During a religious ritual, people are dancing with one another.",It appears people are dancing with one another during a religious ritual.,neutral,Just because people are dancing does not imply they are dancing with one another during a religious ritual.
574,Two people are in a sky carriage.,Two friends ride the sky carriage.,Two companions ride the sky carriage.,The sky carriage is being ridden by two friends.,It seems that two friends ride the sky carriage.,neutral,The two people are not necessarily friends.
