id,premise_raw,premise_original_necessity,premise_original_necessity_control,premise_original_sufficiency,premise_original_sufficiency_control,coverage_original,premise_lexical_necessity,premise_lexical_necessity_control,premise_lexical_sufficiency,premise_lexical_sufficiency_control,coverage_lexical,premise_syntactic_necessity,premise_syntactic_necessity_control,premise_syntactic_sufficiency,premise_syntactic_sufficiency_control,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_necessity_control,premise_pragmatic_sufficiency,premise_pragmatic_sufficiency_control,coverage_pragmatic
495,Two girls cleaning a floor.,_____ _____ _____ a floor.,Two girls cleaning _____ _____,Two girls cleaning _____ _____,_____ girls cleaning _____ floor.,0.6000,Two girls _____ _____ _____,_____ _____ cleaning a floor.,_____ _____ cleaning a floor.,Two _____ _____ a floor.,0.6000,_____ _____ _____ a floor.,Two girls cleaning _____ _____,Two girls cleaning _____ _____,_____ girls _____ a floor.,0.6000,Two girls _____ _____ _____,_____ _____ cleaning a floor.,_____ _____ cleaning a floor.,Two girls _____ _____ floor.,0.6000
496,A group of children play jump rope in the streets while others watch in the background.,A group of children _____ _____ _____ _____ _____ _____ while others watch in the background.,A group _____ children play jump rope in the streets _____ _____ _____ in _____ _____,_____ _____ _____ _____ play jump rope in the streets _____ _____ _____ _____ _____ _____,_____ group _____ _____ play jump _____ in _____ _____ while _____ _____ _____ the _____,0.3750,A group of children _____ _____ _____ _____ _____ _____ while others _____ _____ _____ _____,_____ _____ _____ _____ play jump rope in the streets _____ _____ watch in the background.,_____ _____ _____ _____ play jump rope in the streets _____ _____ watch in the background.,_____ _____ of _____ play jump rope _____ _____ _____ while others watch in the background.,0.6250,A group of _____ play jump rope in the _____ while others watch in the background.,A _____ of children _____ jump rope in the streets while others watch in the background.,_____ _____ _____ children _____ _____ _____ _____ _____ streets _____ _____ _____ _____ _____ _____,_____ _____ of _____ play _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.1250,A group of _____ _____ _____ _____ _____ _____ _____ while others watch in the background.,_____ _____ of children play jump rope in the streets _____ _____ watch _____ _____ _____,_____ _____ _____ children play jump rope in the streets _____ _____ _____ _____ _____ _____,A group _____ _____ play jump rope _____ _____ _____ while _____ _____ _____ the _____,0.4375
497,"Four men are rollerskating in a line, with the last three holding onto the hips of the man ahead of them.","Four _____ are _____ in a line, with the last three holding onto the hips of the man ahead of them.","_____ men are rollerskating in a line, with the last three holding onto _____ hips of the man ahead of them.",_____ men _____ rollerskating _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ a _____ _____ _____ _____ _____ _____ _____ _____ hips _____ _____ _____ _____ _____ _____,0.0952,"Four _____ are _____ in a line, with the last three holding onto the hips of the man ahead of them.","Four men are rollerskating _____ a line, with the last three holding onto the hips _____ the man ahead of them.",_____ men _____ rollerskating _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ are _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ of _____ _____ _____ _____ _____,0.0952,"Four _____ are _____ in a line, with the last three holding onto the hips of the man ahead of them.","Four men are rollerskating in a line, with the last three _____ onto the hips of the _____ ahead of them.",_____ men _____ rollerskating _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,"_____ _____ _____ _____ _____ _____ line, _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ of _____",0.0952,"_____ _____ _____ _____ in a line, with the last three holding onto the hips of the man ahead of them.","Four men are rollerskating _____ a line, _____ the last _____ holding onto the hips of the man ahead _____ them.",Four men are rollerskating _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ rollerskating _____ a _____ _____ _____ _____ _____ _____ onto _____ _____ of _____ _____ _____ _____ _____,0.1905
499,An Asian man is standing on a busy sidewalk as people walk by with bags.,An Asian man is _____ _____ _____ _____ _____ as people walk by with bags.,_____ _____ _____ _____ standing on a busy sidewalk _____ people walk by with bags.,_____ _____ _____ _____ standing on a busy sidewalk _____ _____ _____ _____ _____ _____,_____ _____ man is _____ _____ a _____ sidewalk _____ _____ _____ by _____ _____,0.3333,An Asian man is standing _____ _____ _____ _____ as people walk by with bags.,An Asian man is _____ on a busy sidewalk as _____ _____ _____ with bags.,_____ _____ _____ _____ _____ on a busy sidewalk _____ _____ _____ _____ _____ _____,_____ Asian _____ _____ _____ _____ _____ busy _____ as people _____ _____ _____ _____,0.2667,An Asian man is standing on a busy _____ as people walk by with bags.,An Asian man is standing on a busy sidewalk as people _____ by with bags.,_____ _____ _____ _____ _____ _____ _____ _____ sidewalk _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ walk _____ _____ _____,0.0667,An Asian man is standing on a _____ _____ as people walk by with bags.,An _____ man is _____ on a busy sidewalk as people walk by with bags.,_____ _____ _____ _____ _____ _____ _____ busy sidewalk _____ _____ _____ _____ _____ _____,_____ Asian _____ _____ standing _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.1333
500,A dog is plling a very large branch out of the water.,_____ _____ is plling a very large branch out of the water.,A dog is plling a very large branch _____ of _____ water.,A dog _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A dog _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.1667,A dog is _____ _____ _____ _____ _____ out of the water.,_____ _____ _____ plling a very large branch _____ of _____ water.,_____ _____ _____ plling a very large branch _____ _____ _____ _____,A dog _____ _____ a _____ _____ branch _____ of _____ _____,0.4167,_____ _____ is plling _____ _____ _____ _____ _____ _____ _____ _____,A dog _____ _____ a very large branch out of the water.,A dog _____ _____ a very large branch out of the water.,A dog is plling a _____ large branch _____ of the water.,0.8333,A dog is _____ _____ _____ _____ _____ out of the water.,_____ _____ _____ plling a very large branch _____ of the _____,_____ _____ _____ plling a very large branch _____ _____ _____ _____,A _____ _____ _____ _____ _____ large branch out of _____ _____,0.4167
501,Three women down the street with trees in the background.,_____ _____ down the _____ _____ _____ _____ _____ _____,Three women _____ _____ street with trees in the background.,Three women _____ _____ street with trees in the background.,Three women down the _____ with trees in _____ background.,0.8000,_____ women _____ _____ _____ with _____ _____ _____ _____,Three _____ down the street _____ trees in the background.,Three _____ down the street _____ trees in the background.,Three _____ down the _____ with trees in the background.,0.8000,Three women _____ _____ _____ with trees in the background.,Three _____ down the street _____ trees in the _____,_____ _____ down the street _____ _____ _____ _____ _____,_____ women _____ _____ _____ with _____ _____ the _____,0.3000,Three women _____ _____ _____ with trees in the background.,_____ _____ down the street with trees _____ the background.,_____ _____ down the street _____ _____ _____ _____ _____,_____ women _____ _____ street _____ _____ in _____ _____,0.3000
502,a girl in a blue hoodie is carrying a brown bag,a girl in a blue hoodie is _____ _____ _____ _____,_____ girl in a _____ _____ _____ carrying a brown bag,_____ _____ _____ _____ _____ _____ _____ carrying a brown bag,a _____ in a _____ _____ _____ _____ _____ _____ bag,0.3636,a girl in a blue hoodie is _____ a brown _____,a girl in a blue _____ _____ carrying a brown bag,_____ _____ _____ _____ _____ _____ _____ carrying _____ _____ bag,_____ _____ _____ a _____ _____ is _____ _____ _____ _____,0.1818,a girl in a blue hoodie is _____ _____ _____ _____,_____ _____ in a _____ hoodie _____ carrying a brown bag,_____ _____ _____ _____ _____ _____ _____ carrying a brown bag,_____ girl _____ _____ blue hoodie is _____ _____ _____ _____,0.3636,a girl in a blue hoodie is _____ _____ _____ _____,a girl in _____ _____ _____ _____ carrying a brown bag,_____ _____ _____ _____ _____ _____ _____ carrying a brown bag,_____ girl _____ a _____ _____ _____ carrying _____ _____ bag,0.3636
503,A tennis player on a tennis court bent over and running.,A tennis player _____ _____ _____ _____ bent over and running.,A _____ player on a tennis court _____ _____ _____ running.,_____ _____ _____ on a tennis court _____ _____ _____ _____,A _____ player on _____ _____ _____ _____ _____ and _____,0.3636,A tennis player _____ _____ _____ _____ bent over and running.,_____ tennis _____ on a tennis court _____ over and _____,_____ _____ _____ on a tennis court _____ _____ _____ _____,_____ _____ _____ on _____ _____ court bent _____ and _____,0.3636,A tennis player _____ _____ _____ _____ bent over and running.,_____ _____ player on a tennis court bent over _____ _____,_____ _____ _____ on a tennis court _____ _____ _____ _____,_____ tennis _____ _____ a _____ _____ bent over _____ _____,0.3636,A tennis player _____ _____ _____ _____ bent over and running.,_____ _____ player on a tennis court _____ _____ and running.,_____ _____ _____ on a tennis court _____ _____ _____ _____,A _____ _____ _____ _____ _____ _____ bent over _____ running.,0.3636
504,A man in a flannel shirt and denim overalls working with tools in a workshop.,A man in a flannel shirt and denim overalls _____ _____ _____ in a workshop.,A man _____ _____ flannel shirt and denim overalls working with tools in a _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ working with tools _____ _____ _____,A _____ _____ _____ _____ shirt _____ _____ _____ _____ _____ _____ _____ _____ workshop.,0.2000,A man in a flannel shirt and denim overalls _____ _____ _____ _____ _____ _____,_____ _____ in _____ flannel _____ _____ denim _____ working with tools in a workshop.,_____ _____ _____ _____ _____ _____ _____ _____ _____ working with tools in a workshop.,A man _____ a _____ _____ and _____ _____ _____ _____ tools in _____ _____,0.4000,A man in a flannel shirt and denim overalls _____ _____ _____ in a workshop.,A man _____ a flannel shirt and denim overalls working with tools _____ _____ workshop.,_____ _____ _____ _____ _____ _____ _____ _____ _____ working with tools _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ with _____ in a _____,0.2000,A man in a flannel shirt and denim overalls _____ _____ _____ _____ _____ _____,_____ man in _____ _____ _____ _____ _____ overalls working with tools in a workshop.,_____ _____ _____ _____ _____ _____ _____ _____ _____ working with tools in a workshop.,_____ _____ in _____ _____ _____ _____ denim overalls working with _____ _____ _____ workshop.,0.4000
505,A door in a tall concrete wall,A _____ in a tall concrete _____,A door in a _____ _____ wall,_____ door _____ _____ _____ _____ wall,A door _____ _____ _____ _____ _____,0.2857,_____ _____ in a tall concrete wall,A door in a _____ concrete _____,A door _____ _____ _____ _____ _____,A _____ _____ _____ _____ concrete _____,0.2857,A _____ in a tall concrete _____,A door in _____ _____ concrete wall,_____ door _____ _____ _____ _____ wall,_____ door _____ a _____ _____ _____,0.2857,A _____ in a tall concrete _____,_____ door in a _____ concrete wall,_____ door _____ _____ _____ _____ wall,A _____ _____ _____ _____ concrete _____,0.2857
506,A young girl with a pink headband hits a dish and pan with chopsticks.,A young girl with a pink headband _____ _____ _____ _____ _____ with chopsticks.,A _____ girl with _____ pink _____ hits a dish and pan _____ _____,_____ _____ _____ _____ _____ _____ _____ hits a dish and pan _____ _____,A _____ girl with _____ _____ _____ hits _____ dish _____ _____ _____ _____,0.3571,_____ _____ _____ with a pink headband _____ _____ _____ and pan with chopsticks.,A young girl _____ _____ _____ _____ hits a dish _____ pan _____ chopsticks.,A young girl _____ _____ _____ _____ hits a dish _____ _____ _____ _____,A young girl _____ a _____ _____ _____ _____ _____ and _____ _____ chopsticks.,0.4286,A _____ _____ with a pink headband _____ _____ _____ and pan with chopsticks.,A young girl with _____ _____ headband hits a dish _____ _____ with _____,_____ young girl _____ _____ _____ _____ hits a dish _____ _____ _____ _____,_____ young girl _____ _____ _____ _____ hits _____ dish _____ _____ with _____,0.3571,A young _____ with a pink headband _____ _____ _____ and pan with chopsticks.,_____ _____ girl with a pink headband hits a dish and _____ with _____,_____ _____ girl _____ _____ _____ _____ hits a dish _____ _____ _____ _____,_____ young _____ _____ _____ _____ _____ hits _____ _____ _____ _____ with chopsticks.,0.2857
